,type,from,to,arcrole,order
0,arc,jppfs_cor_CurrentLiabilitiesAbstract,tse-qcedjpfr-47260_ProvisionForDefectRepairCL,http://www.xbrl.org/2003/arcrole/general-special,38
1,arc,jppfs_cor_IntangibleAssetsAbstract,tse-qcedjpfr-47260_CustomerRelationshipsIA,http://www.xbrl.org/2003/arcrole/general-special,18
2,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,tse-qcedjpfr-47260_ContractLiabilitiesNCL,http://www.xbrl.org/2003/arcrole/general-special,11
3,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostOpeCF,http://www.xbrl.org/2003/arcrole/general-special,32
4,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,tse-qcedjpfr-47260_IncreaseDecreaseInProvisionForDefectRepairOpeCF,http://www.xbrl.org/2003/arcrole/general-special,33
5,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,tse-qcedjpfr-47260_DecreaseIncreaseInNotesAndAccountsReceivableTradeAndContractAssetsOpeCF,http://www.xbrl.org/2003/arcrole/general-special,34
6,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,tse-qcedjpfr-47260_IncreaseDecreaseInContractLiabilitiesOpeCF,http://www.xbrl.org/2003/arcrole/general-special,35
7,arc,jppfs_cor_ExtraordinaryIncomeAbstract,tse-qcedjpfr-47260_SubsidiariesDirectorsRetirementAllowanceRepaymentGainEI,http://www.xbrl.org/2003/arcrole/general-special,64
8,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostEL,http://www.xbrl.org/2003/arcrole/general-special,100
9,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SalariesAndAllowanceForPriorPeriodsEL,http://www.xbrl.org/2003/arcrole/general-special,101
10,arc,jppfs_cor_BalanceSheetLineItems,jppfs_cor_AssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,1
11,arc,jppfs_cor_AssetsAbstract,jppfs_cor_CurrentAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,1
12,arc,jppfs_cor_AssetsAbstract,jppfs_cor_NoncurrentAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,2
13,arc,jppfs_cor_AssetsAbstract,jppfs_cor_DeferredAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,3
14,arc,jppfs_cor_AssetsAbstract,jppfs_cor_Assets,http://xbrl.org/int/dim/arcrole/domain-member,4
15,arc,jppfs_cor_BalanceSheetLineItems,jppfs_cor_LiabilitiesAbstract,http://xbrl.org/int/dim/arcrole/domain-member,2
16,arc,jppfs_cor_BalanceSheetLineItems,jppfs_cor_NetAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,3
17,arc,jppfs_cor_BalanceSheetLineItems,jppfs_cor_LiabilitiesAndNetAssets,http://xbrl.org/int/dim/arcrole/domain-member,4
18,arc,jppfs_cor_BalanceSheetTable,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,http://xbrl.org/int/dim/arcrole/hypercube-dimension,1
19,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember_2,http://xbrl.org/int/dim/arcrole/dimension-default,1
20,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember,http://xbrl.org/int/dim/arcrole/dimension-domain,1
21,arc,jppfs_cor_CurrentAssetsAbstract,jppfs_cor_CashAndDeposits,http://xbrl.org/int/dim/arcrole/domain-member,1
22,arc,jppfs_cor_CurrentAssetsAbstract,jppfs_cor_NotesAndAccountsReceivableTradeAndContractAssets,http://xbrl.org/int/dim/arcrole/domain-member,2
23,arc,jppfs_cor_CurrentAssetsAbstract,jppfs_cor_Merchandise,http://xbrl.org/int/dim/arcrole/domain-member,3
24,arc,jppfs_cor_CurrentAssetsAbstract,jppfs_cor_OtherCA,http://xbrl.org/int/dim/arcrole/domain-member,4
25,arc,jppfs_cor_CurrentAssetsAbstract,jppfs_cor_AllowanceForDoubtfulAccountsCA,http://xbrl.org/int/dim/arcrole/domain-member,5
26,arc,jppfs_cor_CurrentAssetsAbstract,jppfs_cor_CurrentAssets,http://xbrl.org/int/dim/arcrole/domain-member,6
27,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_AccountsPayableTrade,http://xbrl.org/int/dim/arcrole/domain-member,1
28,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_CurrentPortionOfLongTermLoansPayable,http://xbrl.org/int/dim/arcrole/domain-member,2
29,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_LeaseObligationsCL,http://xbrl.org/int/dim/arcrole/domain-member,3
30,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_AccountsPayableOther,http://xbrl.org/int/dim/arcrole/domain-member,4
31,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_IncomeTaxesPayable,http://xbrl.org/int/dim/arcrole/domain-member,5
32,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_ContractLiabilities,http://xbrl.org/int/dim/arcrole/domain-member,6
33,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_ProvisionForBonuses,http://xbrl.org/int/dim/arcrole/domain-member,7
34,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_ProvisionForDirectorsBonuses,http://xbrl.org/int/dim/arcrole/domain-member,8
35,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_ProvisionForLossOnOrderReceivedCL,http://xbrl.org/int/dim/arcrole/domain-member,9
36,arc,jppfs_cor_CurrentLiabilitiesAbstract,tse-qcedjpfr-47260_ProvisionForDefectRepairCL,http://xbrl.org/int/dim/arcrole/domain-member,10
37,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_AssetRetirementObligationsCL,http://xbrl.org/int/dim/arcrole/domain-member,11
38,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_OtherCL,http://xbrl.org/int/dim/arcrole/domain-member,12
39,arc,jppfs_cor_CurrentLiabilitiesAbstract,jppfs_cor_CurrentLiabilities,http://xbrl.org/int/dim/arcrole/domain-member,13
40,arc,jppfs_cor_DeferredAssetsAbstract,jppfs_cor_StockIssuanceCostDA,http://xbrl.org/int/dim/arcrole/domain-member,1
41,arc,jppfs_cor_DeferredAssetsAbstract,jppfs_cor_DeferredAssets,http://xbrl.org/int/dim/arcrole/domain-member,2
42,arc,jppfs_cor_IntangibleAssetsAbstract,jppfs_cor_Goodwill,http://xbrl.org/int/dim/arcrole/domain-member,1
43,arc,jppfs_cor_IntangibleAssetsAbstract,jppfs_cor_Software,http://xbrl.org/int/dim/arcrole/domain-member,2
44,arc,jppfs_cor_IntangibleAssetsAbstract,jppfs_cor_SoftwareInProgress,http://xbrl.org/int/dim/arcrole/domain-member,3
45,arc,jppfs_cor_IntangibleAssetsAbstract,tse-qcedjpfr-47260_CustomerRelationshipsIA,http://xbrl.org/int/dim/arcrole/domain-member,4
46,arc,jppfs_cor_IntangibleAssetsAbstract,jppfs_cor_OtherIA,http://xbrl.org/int/dim/arcrole/domain-member,5
47,arc,jppfs_cor_IntangibleAssetsAbstract,jppfs_cor_IntangibleAssets,http://xbrl.org/int/dim/arcrole/domain-member,6
48,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_InvestmentsAndOtherAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,3
49,arc,jppfs_cor_InvestmentsAndOtherAssetsAbstract,jppfs_cor_InvestmentSecurities,http://xbrl.org/int/dim/arcrole/domain-member,1
50,arc,jppfs_cor_InvestmentsAndOtherAssetsAbstract,jppfs_cor_DeferredTaxAssets,http://xbrl.org/int/dim/arcrole/domain-member,2
51,arc,jppfs_cor_InvestmentsAndOtherAssetsAbstract,jppfs_cor_OtherIOA,http://xbrl.org/int/dim/arcrole/domain-member,3
52,arc,jppfs_cor_InvestmentsAndOtherAssetsAbstract,jppfs_cor_InvestmentsAndOtherAssets,http://xbrl.org/int/dim/arcrole/domain-member,4
53,arc,jppfs_cor_LiabilitiesAbstract,jppfs_cor_CurrentLiabilitiesAbstract,http://xbrl.org/int/dim/arcrole/domain-member,1
54,arc,jppfs_cor_LiabilitiesAbstract,jppfs_cor_NoncurrentLiabilitiesAbstract,http://xbrl.org/int/dim/arcrole/domain-member,2
55,arc,jppfs_cor_LiabilitiesAbstract,jppfs_cor_Liabilities,http://xbrl.org/int/dim/arcrole/domain-member,3
56,arc,jppfs_cor_NetAssetsAbstract,jppfs_cor_ShareholdersEquityAbstract,http://xbrl.org/int/dim/arcrole/domain-member,1
57,arc,jppfs_cor_NetAssetsAbstract,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,2
58,arc,jppfs_cor_NetAssetsAbstract,jppfs_cor_SubscriptionRightsToShares,http://xbrl.org/int/dim/arcrole/domain-member,3
59,arc,jppfs_cor_NetAssetsAbstract,jppfs_cor_NonControllingInterests,http://xbrl.org/int/dim/arcrole/domain-member,4
60,arc,jppfs_cor_NetAssetsAbstract,jppfs_cor_NetAssets,http://xbrl.org/int/dim/arcrole/domain-member,5
61,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_PropertyPlantAndEquipmentAbstract,http://xbrl.org/int/dim/arcrole/domain-member,1
62,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_IntangibleAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,2
63,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_NoncurrentAssets,http://xbrl.org/int/dim/arcrole/domain-member,4
64,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_LongTermLoansPayable,http://xbrl.org/int/dim/arcrole/domain-member,1
65,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_LeaseObligationsNCL,http://xbrl.org/int/dim/arcrole/domain-member,2
66,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_DeferredTaxLiabilities,http://xbrl.org/int/dim/arcrole/domain-member,3
67,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,tse-qcedjpfr-47260_ContractLiabilitiesNCL,http://xbrl.org/int/dim/arcrole/domain-member,4
68,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_NetDefinedBenefitLiability,http://xbrl.org/int/dim/arcrole/domain-member,5
69,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_AssetRetirementObligationsNCL,http://xbrl.org/int/dim/arcrole/domain-member,6
70,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_OtherNCL,http://xbrl.org/int/dim/arcrole/domain-member,7
71,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_NoncurrentLiabilities,http://xbrl.org/int/dim/arcrole/domain-member,8
72,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_BuildingsNet,http://xbrl.org/int/dim/arcrole/domain-member,1
73,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_ToolsFurnitureAndFixturesNet,http://xbrl.org/int/dim/arcrole/domain-member,2
74,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_OtherNetPPE,http://xbrl.org/int/dim/arcrole/domain-member,3
75,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_PropertyPlantAndEquipment,http://xbrl.org/int/dim/arcrole/domain-member,4
76,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jppfs_cor_BalanceSheetTable,http://xbrl.org/int/dim/arcrole/all,1
77,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jppfs_cor_BalanceSheetLineItems,http://xbrl.org/int/dim/arcrole/domain-member,2
78,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_CapitalStock,http://xbrl.org/int/dim/arcrole/domain-member,1
79,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_CapitalSurplus,http://xbrl.org/int/dim/arcrole/domain-member,2
80,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_RetainedEarnings,http://xbrl.org/int/dim/arcrole/domain-member,3
81,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_TreasuryStock,http://xbrl.org/int/dim/arcrole/domain-member,4
82,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_ShareholdersEquity,http://xbrl.org/int/dim/arcrole/domain-member,5
83,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecurities,http://xbrl.org/int/dim/arcrole/domain-member,1
84,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ForeignCurrencyTranslationAdjustment,http://xbrl.org/int/dim/arcrole/domain-member,2
85,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ValuationAndTranslationAdjustments,http://xbrl.org/int/dim/arcrole/domain-member,3
86,arc,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,jppfs_cor_ComprehensiveIncomeAttributableToOwnersOfTheParent,http://xbrl.org/int/dim/arcrole/domain-member,1
87,arc,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,jppfs_cor_ComprehensiveIncomeAttributableToNonControllingInterests,http://xbrl.org/int/dim/arcrole/domain-member,2
88,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember_2,http://xbrl.org/int/dim/arcrole/dimension-default,1
89,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember,http://xbrl.org/int/dim/arcrole/dimension-domain,1
90,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_GainOnSalesOfInvestmentSecuritiesEI,http://xbrl.org/int/dim/arcrole/domain-member,1
91,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_CompensationIncomeEI,http://xbrl.org/int/dim/arcrole/domain-member,2
92,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_GainOnReversalOfSubscriptionRightsToSharesEI,http://xbrl.org/int/dim/arcrole/domain-member,3
93,arc,jppfs_cor_ExtraordinaryIncomeAbstract,tse-qcedjpfr-47260_SubsidiariesDirectorsRetirementAllowanceRepaymentGainEI,http://xbrl.org/int/dim/arcrole/domain-member,4
94,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_ExtraordinaryIncome,http://xbrl.org/int/dim/arcrole/domain-member,5
95,arc,jppfs_cor_ExtraordinaryLossAbstract,jppfs_cor_ImpairmentLossEL,http://xbrl.org/int/dim/arcrole/domain-member,1
96,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostEL,http://xbrl.org/int/dim/arcrole/domain-member,2
97,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SalariesAndAllowanceForPriorPeriodsEL,http://xbrl.org/int/dim/arcrole/domain-member,3
98,arc,jppfs_cor_ExtraordinaryLossAbstract,jppfs_cor_ExtraordinaryLoss,http://xbrl.org/int/dim/arcrole/domain-member,4
99,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_InterestExpensesNOE,http://xbrl.org/int/dim/arcrole/domain-member,1
100,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_ContributionNOE,http://xbrl.org/int/dim/arcrole/domain-member,2
101,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_LossOnInvestmentsInPartnershipNOE,http://xbrl.org/int/dim/arcrole/domain-member,3
102,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_ForeignExchangeLossesNOE,http://xbrl.org/int/dim/arcrole/domain-member,4
103,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_CommissionFeeNOE,http://xbrl.org/int/dim/arcrole/domain-member,5
104,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_MiscellaneousLossNOE,http://xbrl.org/int/dim/arcrole/domain-member,6
105,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_NonOperatingExpenses,http://xbrl.org/int/dim/arcrole/domain-member,7
106,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NonOperatingIncomeAbstract,http://xbrl.org/int/dim/arcrole/domain-member,6
107,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_InterestIncomeNOI,http://xbrl.org/int/dim/arcrole/domain-member,1
